Name: Square Roland Garros, Instruction: Head northwest on Square Roland Garros, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 26.3 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 317.7 meters, Time: 228.8 seconds
Name: -, Instruction: Keep right, Distance: 135.2 meters, Time: 97.3 seconds
Name: -, Instruction: Turn right, Distance: 31.6 meters, Time: 22.7 seconds
Name: -, Instruction: Turn left, Distance: 34.8 meters, Time: 25.1 seconds
Name: -, Instruction: Turn slight left, Distance: 65.4 meters, Time: 47.1 seconds
Name: -, Instruction: Turn right, Distance: 284.3 meters, Time: 204.7 seconds
Name: Rue Paul Meurice, Instruction: Turn left onto Rue Paul Meurice, Distance: 193.3 meters, Time: 139.2 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
