Name: Bukit Batok West Avenue 4, Instruction: Head northeast on Bukit Batok West Avenue 4, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 135.8 meters, Time: 97.7 seconds
Name: -, Instruction: Turn right, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn left, Distance: 391.3 meters, Time: 281.7 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: Bukit Batok Park Connector, Instruction: Turn slight right onto Bukit Batok Park Connector, Distance: 476.9 meters, Time: 343.4 seconds
Name: Bukit Batok Park Connector, Instruction: Turn left onto Bukit Batok Park Connector, Distance: 4.8 meters, Time: 3.5 seconds
Name: Bukit Batok Park Connector, Instruction: Turn right onto Bukit Batok Park Connector, Distance: 28.8 meters, Time: 20.7 seconds
Name: Bukit Batok Park Connector, Instruction: Turn slight right onto Bukit Batok Park Connector, Distance: 4.7 meters, Time: 3.4 seconds
Name: Bukit Batok Park Connector, Instruction: Turn left onto Bukit Batok Park Connector, Distance: 348.4 meters, Time: 250.8 seconds
Name: -, Instruction: Turn right, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Keep left, Distance: 192.1 meters, Time: 138.3 seconds
Name: -, Instruction: Turn left, Distance: 202.1 meters, Time: 145.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
