Name: Bain Street, Instruction: Head northwest on Bain Street, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 423.1 meters, Time: 304.7 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn right, Distance: 76.1 meters, Time: 54.8 seconds
Name: -, Instruction: Keep right, Distance: 578.2 meters, Time: 416.3 seconds
Name: -, Instruction: Turn left, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Turn right, Distance: 134.6 meters, Time: 96.9 seconds
Name: -, Instruction: Continue straight, Distance: 86.6 meters, Time: 62.3 seconds
Name: Rochor Canal Road, Instruction: Continue straight onto Rochor Canal Road, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Keep right, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 132.4 meters, Time: 95.4 seconds
Name: -, Instruction: Turn left, Distance: 80.3 meters, Time: 57.8 seconds
Name: French Road, Instruction: Turn right onto French Road, Distance: 35.8 meters, Time: 25.8 seconds
Name: -, Instruction: Arrive at French Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
