Name: Kidlerstraße, Instruction: Head north on Kidlerstraße, Distance: 30.1 meters, Time: 21.7 seconds
Name: -, Instruction: Turn right, Distance: 131.8 meters, Time: 94.9 seconds
Name: Daiserstraße, Instruction: Turn left onto Daiserstraße, Distance: 41.5 meters, Time: 29.9 seconds
Name: Oberländerstraße, Instruction: Turn right onto Oberländerstraße, Distance: 590.1 meters, Time: 424.8 seconds
Name: Thalkirchner Straße, Instruction: Turn slight left onto Thalkirchner Straße, Distance: 27.0 meters, Time: 19.4 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 214.9 meters, Time: 154.7 seconds
Name: Thalkirchner Straße, Instruction: Turn right onto Thalkirchner Straße, Distance: 168.8 meters, Time: 121.6 seconds
Name: Thalkirchner Straße, Instruction: Turn slight right onto Thalkirchner Straße, Distance: 17.8 meters, Time: 12.8 seconds
Name: Lagerhausstraße, Instruction: Turn slight left onto Lagerhausstraße, Distance: 232.7 meters, Time: 167.5 seconds
Name: -, Instruction: Turn left, Distance: 34.3 meters, Time: 24.7 seconds
Name: Schäftlarnstraße, Instruction: Turn sharp right onto Schäftlarnstraße, Distance: 64.1 meters, Time: 46.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
