Name: Brickworks Lane, Instruction: Head south on Brickworks Lane, Distance: 93.4 meters, Time: 67.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 29.1 meters, Time: 21.0 seconds
Name: -, Instruction: Turn left, Distance: 44.1 meters, Time: 31.7 seconds
Name: -, Instruction: Keep right, Distance: 382.4 meters, Time: 275.3 seconds
Name: -, Instruction: Turn slight right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn slight right, Distance: 391.3 meters, Time: 281.7 seconds
Name: -, Instruction: Keep right, Distance: 178.1 meters, Time: 128.2 seconds
Name: -, Instruction: Turn left, Distance: 89.4 meters, Time: 64.4 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 80.3 meters, Time: 57.8 seconds
Name: Indian Grove, Instruction: Turn right onto Indian Grove, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
