Name: Beresford Road, Instruction: Head north on Beresford Road, Distance: 179.1 meters, Time: 129.0 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 39.7 meters, Time: 28.6 seconds
Name: -, Instruction: Turn left, Distance: 51.1 meters, Time: 36.8 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: Girraween Road, Instruction: Turn right onto Girraween Road, Distance: 376.0 meters, Time: 270.7 seconds
Name: Girraween Road, Instruction: Enter the roundabout and take the 2nd exit onto Girraween Road, Distance: 349.9 meters, Time: 252.0 seconds
Name: Girraween Road, Instruction: Enter the roundabout and take the 2nd exit onto Girraween Road, Distance: 337.5 meters, Time: 243.0 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 155.8 meters, Time: 112.2 seconds
Name: Normac Road, Instruction: Turn right onto Normac Road, Distance: 399.1 meters, Time: 287.4 seconds
Name: Oramzi Road, Instruction: Turn left onto Oramzi Road, Distance: 117.4 meters, Time: 84.5 seconds
Name: Palm Street, Instruction: Turn left onto Palm Street, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 353.6 meters, Time: 254.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
