Name: Freya Street, Instruction: Head north on Freya Street, Distance: 32.3 meters, Time: 23.3 seconds
Name: Rival Street, Instruction: Turn left onto Rival Street, Distance: 350.5 meters, Time: 252.4 seconds
Name: -, Instruction: Turn left, Distance: 100.7 meters, Time: 72.5 seconds
Name: Siandra Drive, Instruction: Turn right onto Siandra Drive, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 154.3 meters, Time: 111.1 seconds
Name: Carvers Road, Instruction: Turn left onto Carvers Road, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 342.7 meters, Time: 246.8 seconds
Name: Carvers Road, Instruction: Turn left onto Carvers Road, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 119.1 meters, Time: 85.8 seconds
Name: -, Instruction: Continue straight, Distance: 83.6 meters, Time: 60.2 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 112.3 meters, Time: 80.9 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: Carvers Road, Instruction: Turn right onto Carvers Road, Distance: 62.4 meters, Time: 44.9 seconds
Name: Oyster Bay Road, Instruction: Turn right onto Oyster Bay Road, Distance: 6.7 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 250.3 meters, Time: 180.2 seconds
Name: -, Instruction: Turn slight left, Distance: 78.9 meters, Time: 56.8 seconds
Name: -, Instruction: Keep right, Distance: 132.3 meters, Time: 95.2 seconds
Name: Oyster Bay Road, Instruction: Turn sharp right onto Oyster Bay Road, Distance: 44.2 meters, Time: 31.8 seconds
Name: -, Instruction: Arrive at Oyster Bay Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
