Name: Rue Carolus-Duran, Instruction: Head east on Rue Carolus-Duran, Distance: 93.3 meters, Time: 67.2 seconds
Name: -, Instruction: Turn right, Distance: 45.6 meters, Time: 32.9 seconds
Name: -, Instruction: Turn left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.1 seconds
Name: Rue de Romainville, Instruction: Turn left onto Rue de Romainville, Distance: 244.1 meters, Time: 175.8 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 22.3 meters, Time: 16.1 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 59.6 meters, Time: 42.9 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 57.3 meters, Time: 41.3 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 103.4 meters, Time: 74.5 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn right, Distance: 60.4 meters, Time: 43.5 seconds
Name: -, Instruction: Turn right, Distance: 90.5 meters, Time: 65.2 seconds
Name: -, Instruction: Turn slight right, Distance: 20.5 meters, Time: 14.7 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 370.9 meters, Time: 267.0 seconds
Name: -, Instruction: Turn left, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 96.9 meters, Time: 69.8 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 267.8 meters, Time: 192.8 seconds
Name: -, Instruction: Turn left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn left, Distance: 216.8 meters, Time: 156.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
