Name: Oberländerstraße, Instruction: Head east on Oberländerstraße, Distance: 139.1 meters, Time: 100.1 seconds
Name: Thalkirchner Straße, Instruction: Turn slight left onto Thalkirchner Straße, Distance: 27.0 meters, Time: 19.4 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 214.9 meters, Time: 154.7 seconds
Name: Thalkirchner Straße, Instruction: Turn right onto Thalkirchner Straße, Distance: 168.8 meters, Time: 121.6 seconds
Name: -, Instruction: Turn left, Distance: 702.1 meters, Time: 505.5 seconds
Name: -, Instruction: Turn right, Distance: 17.6 meters, Time: 12.6 seconds
Name: -, Instruction: Turn slight right, Distance: 191.7 meters, Time: 138.0 seconds
Name: -, Instruction: Turn right, Distance: 40.2 meters, Time: 29.0 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: Kapuzinerstraße, Instruction: Turn right onto Kapuzinerstraße, Distance: 161.6 meters, Time: 116.4 seconds
Name: Auenstraße, Instruction: Turn left onto Auenstraße, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Arrive at Auenstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
