Name: Edward Edgar Street, Instruction: Head north on Edward Edgar Street, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 245.6 meters, Time: 176.8 seconds
Name: -, Instruction: Turn slight left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn slight left, Distance: 50.8 meters, Time: 36.6 seconds
Name: -, Instruction: Turn slight right, Distance: 38.8 meters, Time: 27.9 seconds
Name: -, Instruction: Turn left, Distance: 33.8 meters, Time: 24.3 seconds
Name: -, Instruction: Turn left, Distance: 292.1 meters, Time: 210.3 seconds
Name: -, Instruction: Keep left, Distance: 459.3 meters, Time: 330.7 seconds
Name: -, Instruction: Turn left, Distance: 149.9 meters, Time: 107.9 seconds
Name: -, Instruction: Continue straight, Distance: 131.4 meters, Time: 94.6 seconds
Name: -, Instruction: Turn right, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Turn right, Distance: 288.6 meters, Time: 207.8 seconds
Name: Holmes Road, Instruction: Turn right onto Holmes Road, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
