Name: Versfeld Road, Instruction: Head west on Versfeld Road, Distance: 26.6 meters, Time: 19.2 seconds
Name: Murray Street, Instruction: Turn right onto Murray Street, Distance: 348.1 meters, Time: 250.6 seconds
Name: Milton Road, Instruction: Turn right onto Milton Road, Distance: 70.0 meters, Time: 50.4 seconds
Name: -, Instruction: Turn left, Distance: 827.5 meters, Time: 595.8 seconds
Name: -, Instruction: Turn right, Distance: 328.2 meters, Time: 236.3 seconds
Name: -, Instruction: Turn left, Distance: 30.2 meters, Time: 21.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 287.1 meters, Time: 206.7 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: Manus Gerber Street, Instruction: Turn left onto Manus Gerber Street, Distance: 147.3 meters, Time: 106.1 seconds
Name: Manus Gerber Street, Instruction: Keep left onto Manus Gerber Street, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Enter the roundabout and take the 3rd exit, Distance: 105.7 meters, Time: 76.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
