Name: Nea Street, Instruction: Head east on Nea Street, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 225.1 meters, Time: 162.1 seconds
Name: -, Instruction: Turn slight right, Distance: 392.0 meters, Time: 282.2 seconds
Name: -, Instruction: Turn left, Distance: 696.0 meters, Time: 501.1 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: Artarmon Road, Instruction: Turn left onto Artarmon Road, Distance: 140.2 meters, Time: 100.9 seconds
Name: Artarmon Road, Instruction: Enter the roundabout and take the 1st exit onto Artarmon Road, Distance: 62.7 meters, Time: 45.2 seconds
Name: Lucknow Street, Instruction: Turn left onto Lucknow Street, Distance: 9.7 meters, Time: 7.0 seconds
Name: Artarmon Road, Instruction: Turn right onto Artarmon Road, Distance: 624.1 meters, Time: 449.3 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
