Name: Kingdale Road, Instruction: Head southeast on Kingdale Road, Distance: 13.8 meters, Time: 10.0 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn slight right, Distance: 351.8 meters, Time: 253.3 seconds
Name: -, Instruction: Turn right, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn slight left, Distance: 23.0 meters, Time: 16.5 seconds
Name: -, Instruction: Turn right, Distance: 344.2 meters, Time: 247.8 seconds
Name: Moselle Avenue, Instruction: Turn left onto Moselle Avenue, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 68.4 meters, Time: 49.3 seconds
Name: -, Instruction: Turn right, Distance: 95.1 meters, Time: 68.5 seconds
Name: -, Instruction: Turn right, Distance: 49.0 meters, Time: 35.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
