Name: Rue du Val de Marne, Instruction: Head west on Rue du Val de Marne, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Keep right, Distance: 65.7 meters, Time: 47.3 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn left, Distance: 217.4 meters, Time: 156.5 seconds
Name: -, Instruction: Turn right, Distance: 64.6 meters, Time: 46.5 seconds
Name: -, Instruction: Turn left, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 82.6 meters, Time: 59.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Keep left, Distance: 50.2 meters, Time: 36.2 seconds
Name: -, Instruction: Turn left, Distance: 77.6 meters, Time: 55.8 seconds
Name: -, Instruction: Turn slight left, Distance: 2.3 meters, Time: 1.7 seconds
Name: Rue du Tibre, Instruction: Turn right onto Rue du Tibre, Distance: 79.8 meters, Time: 57.4 seconds
Name: Rue du Moulin de la Pointe, Instruction: Turn left onto Rue du Moulin de la Pointe, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
