Name: Roseman Avenue, Instruction: Head southeast on Roseman Avenue, Distance: 544.4 meters, Time: 392.0 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Keep left, Distance: 235.5 meters, Time: 169.6 seconds
Name: -, Instruction: Turn left, Distance: 54.9 meters, Time: 39.5 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 174.8 meters, Time: 125.8 seconds
Name: -, Instruction: Turn left, Distance: 90.5 meters, Time: 65.2 seconds
Name: -, Instruction: Turn right, Distance: 21.2 meters, Time: 15.3 seconds
Name: -, Instruction: Turn left, Distance: 427.6 meters, Time: 307.9 seconds
Name: -, Instruction: Keep right, Distance: 103.5 meters, Time: 74.5 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn slight left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Keep left, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 85.4 meters, Time: 61.5 seconds
Name: -, Instruction: Keep right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
