Name: Glenthorne Avenue, Instruction: Head northeast on Glenthorne Avenue, Distance: 258.9 meters, Time: 186.4 seconds
Name: -, Instruction: Keep left, Distance: 178.8 meters, Time: 128.8 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 201.6 meters, Time: 145.2 seconds
Name: -, Instruction: Keep left, Distance: 242.3 meters, Time: 174.4 seconds
Name: -, Instruction: Keep left, Distance: 119.2 meters, Time: 85.8 seconds
Name: Bywood Avenue, Instruction: Turn left onto Bywood Avenue, Distance: 112.7 meters, Time: 81.1 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 281.3 meters, Time: 202.5 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Continue straight, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Keep right, Distance: 125.4 meters, Time: 90.3 seconds
Name: -, Instruction: Keep left, Distance: 110.4 meters, Time: 79.5 seconds
Name: -, Instruction: Turn slight right, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn slight left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Keep left, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Keep right, Distance: 57.0 meters, Time: 41.0 seconds
Name: -, Instruction: Keep right, Distance: 129.3 meters, Time: 93.1 seconds
Name: -, Instruction: Keep left, Distance: 64.8 meters, Time: 46.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 49.4 meters, Time: 35.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
