Name: Jane Avenue, Instruction: Head south on Jane Avenue, Distance: 341.7 meters, Time: 246.0 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Keep left, Distance: 172.1 meters, Time: 123.9 seconds
Name: -, Instruction: Turn right, Distance: 151.7 meters, Time: 109.2 seconds
Name: -, Instruction: Turn right, Distance: 132.7 meters, Time: 95.6 seconds
Name: Pooke Road, Instruction: Turn right onto Pooke Road, Distance: 106.2 meters, Time: 76.5 seconds
Name: Carrick Road, Instruction: Turn left onto Carrick Road, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn right, Distance: 40.2 meters, Time: 28.9 seconds
Name: -, Instruction: Turn right, Distance: 87.7 meters, Time: 63.1 seconds
Name: Pooke Road, Instruction: Turn left onto Pooke Road, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn right, Distance: 48.6 meters, Time: 35.0 seconds
Name: Gideon Road, Instruction: Turn right onto Gideon Road, Distance: 236.9 meters, Time: 170.5 seconds
Name: -, Instruction: Keep right, Distance: 119.8 meters, Time: 86.3 seconds
Name: Surran Road, Instruction: Turn slight left onto Surran Road, Distance: 490.9 meters, Time: 353.5 seconds
Name: -, Instruction: Turn left, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
