Name: Transformer Road, Instruction: Head west on Transformer Road, Distance: 197.9 meters, Time: 142.5 seconds
Name: Ridge Tumble, Instruction: Turn sharp right onto Ridge Tumble, Distance: 42.7 meters, Time: 30.7 seconds
Name: Crothers Woods Trail, Instruction: Turn right onto Crothers Woods Trail, Distance: 69.8 meters, Time: 50.3 seconds
Name: -, Instruction: Turn left, Distance: 170.5 meters, Time: 122.8 seconds
Name: -, Instruction: Turn left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn slight left, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Turn right, Distance: 103.6 meters, Time: 74.6 seconds
Name: -, Instruction: Turn right, Distance: 155.6 meters, Time: 112.1 seconds
Name: -, Instruction: Turn left, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn right, Distance: 241.5 meters, Time: 173.9 seconds
Name: -, Instruction: Turn left, Distance: 148.7 meters, Time: 107.1 seconds
Name: Banigan Drive, Instruction: Turn left onto Banigan Drive, Distance: 292.7 meters, Time: 210.7 seconds
Name: -, Instruction: Arrive at Banigan Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
