Name: Allée de l'Arlequin, Instruction: Head north on Allée de l'Arlequin, Distance: 5.6 meters, Time: 4.0 seconds
Name: Allée Maryse Condé, Instruction: Keep right onto Allée Maryse Condé, Distance: 70.1 meters, Time: 50.4 seconds
Name: Allée Maryse Condé, Instruction: Turn right onto Allée Maryse Condé, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Turn right, Distance: 25.7 meters, Time: 18.5 seconds
Name: Rue des Coudraies, Instruction: Turn left onto Rue des Coudraies, Distance: 41.5 meters, Time: 29.9 seconds
Name: Rue des Coudraies, Instruction: Keep right onto Rue des Coudraies, Distance: 9.1 meters, Time: 6.6 seconds
Name: Rue des Coudraies, Instruction: Turn right onto Rue des Coudraies, Distance: 98.8 meters, Time: 71.1 seconds
Name: Rue des Longues Raies, Instruction: Turn slight left onto Rue des Longues Raies, Distance: 52.6 meters, Time: 37.9 seconds
Name: Rue des Longues Raies, Instruction: Keep right onto Rue des Longues Raies, Distance: 24.1 meters, Time: 17.3 seconds
Name: Passerelle Valmy, Instruction: Turn sharp left onto Passerelle Valmy, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 99.1 meters, Time: 71.4 seconds
Name: -, Instruction: Turn slight left, Distance: 133.7 meters, Time: 96.3 seconds
Name: -, Instruction: Turn slight right, Distance: 59.2 meters, Time: 42.6 seconds
Name: -, Instruction: Turn left, Distance: 154.1 meters, Time: 110.9 seconds
Name: Cours du Triangle, Instruction: Turn left onto Cours du Triangle, Distance: 63.0 meters, Time: 45.4 seconds
Name: Passerelle du Cours du Triangle, Instruction: Continue straight onto Passerelle du Cours du Triangle, Distance: 102.0 meters, Time: 73.5 seconds
Name: Cours du Triangle, Instruction: Turn right onto Cours du Triangle, Distance: 74.6 meters, Time: 53.7 seconds
Name: Allée de l'Arche, Instruction: Turn left onto Allée de l'Arche, Distance: 57.7 meters, Time: 41.5 seconds
Name: -, Instruction: Keep right, Distance: 75.0 meters, Time: 54.0 seconds
Name: -, Instruction: Turn right, Distance: 175.7 meters, Time: 126.5 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: Avenue de l'Arche, Instruction: Turn left onto Avenue de l'Arche, Distance: 10.7 meters, Time: 7.7 seconds
Name: Avenue Léonard de Vinci, Instruction: Turn right onto Avenue Léonard de Vinci, Distance: 41.6 meters, Time: 29.9 seconds
Name: Rue Berthelot, Instruction: Enter the roundabout and take the 3rd exit onto Rue Berthelot, Distance: 99.4 meters, Time: 71.6 seconds
Name: -, Instruction: Turn left, Distance: 283.6 meters, Time: 204.2 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
