Name: Gerald Crescent, Instruction: Head north on Gerald Crescent, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 78.0 meters, Time: 56.2 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn slight right, Distance: 452.7 meters, Time: 325.9 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn slight left, Distance: 27.3 meters, Time: 19.6 seconds
Name: -, Instruction: Turn right, Distance: 221.2 meters, Time: 159.3 seconds
Name: -, Instruction: Turn left, Distance: 201.0 meters, Time: 144.8 seconds
Name: -, Instruction: Turn right, Distance: 274.9 meters, Time: 197.9 seconds
Name: Asche Street, Instruction: Turn right onto Asche Street, Distance: 8.2 meters, Time: 5.9 seconds
Name: Judith Anderson Drive, Instruction: Turn left onto Judith Anderson Drive, Distance: 220.5 meters, Time: 158.7 seconds
Name: -, Instruction: Turn right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
