Name: Avignon Crescent, Instruction: Head south on Avignon Crescent, Distance: 87.0 meters, Time: 62.6 seconds
Name: -, Instruction: Turn left, Distance: 12.3 meters, Time: 8.8 seconds
Name: -, Instruction: Turn slight left, Distance: 64.0 meters, Time: 46.1 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: Smartt Road, Instruction: Turn slight left onto Smartt Road, Distance: 446.4 meters, Time: 321.4 seconds
Name: A.G. Visser Street, Instruction: Turn left onto A.G. Visser Street, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 103.7 meters, Time: 74.6 seconds
Name: -, Instruction: Keep right, Distance: 114.7 meters, Time: 82.6 seconds
Name: Alice Street, Instruction: Turn slight left onto Alice Street, Distance: 58.6 meters, Time: 42.2 seconds
Name: -, Instruction: Turn right, Distance: 1152.6 meters, Time: 829.8 seconds
Name: -, Instruction: Turn left, Distance: 30.2 meters, Time: 21.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 139.8 meters, Time: 100.6 seconds
Name: -, Instruction: Turn left, Distance: 65.2 meters, Time: 47.0 seconds
Name: Syfred Douglas Street, Instruction: Enter the roundabout and take the 2nd exit onto Syfred Douglas Street, Distance: 110.8 meters, Time: 79.8 seconds
Name: Louwtjie Rothman Street, Instruction: Turn right onto Louwtjie Rothman Street, Distance: 64.6 meters, Time: 46.5 seconds
Name: -, Instruction: Arrive at Louwtjie Rothman Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
