Name: 王子新道, Instruction: Head west on 王子新道, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn left, Distance: 90.0 meters, Time: 64.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 197.3 meters, Time: 142.0 seconds
Name: -, Instruction: Turn right, Distance: 179.1 meters, Time: 129.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn left, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn right, Distance: 166.2 meters, Time: 119.6 seconds
Name: -, Instruction: Turn slight left, Distance: 145.7 meters, Time: 104.9 seconds
Name: -, Instruction: Turn right, Distance: 54.6 meters, Time: 39.3 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 48.8 meters, Time: 35.2 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 573.6 meters, Time: 413.0 seconds
Name: -, Instruction: Turn left, Distance: 100.7 meters, Time: 72.5 seconds
Name: -, Instruction: Turn right, Distance: 65.2 meters, Time: 46.9 seconds
Name: -, Instruction: Keep left, Distance: 160.4 meters, Time: 115.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn slight right, Distance: 232.3 meters, Time: 167.2 seconds
Name: -, Instruction: Turn right, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 127.1 meters, Time: 91.5 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
