Name: Military Close, Instruction: Head north on Military Close, Distance: 51.3 meters, Time: 36.9 seconds
Name: Flotilla Circuit, Instruction: Turn right onto Flotilla Circuit, Distance: 328.1 meters, Time: 236.2 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 74.7 meters, Time: 53.8 seconds
Name: -, Instruction: Turn left, Distance: 153.1 meters, Time: 110.2 seconds
Name: -, Instruction: Turn left, Distance: 71.7 meters, Time: 51.6 seconds
Name: -, Instruction: Turn left, Distance: 61.4 meters, Time: 44.2 seconds
Name: -, Instruction: Turn right, Distance: 42.3 meters, Time: 30.5 seconds
Name: Garrison Road, Instruction: Turn sharp right onto Garrison Road, Distance: 201.4 meters, Time: 145.0 seconds
Name: -, Instruction: Arrive at Garrison Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
