Name: Rue Émile Landrin, Instruction: Head west on Rue Émile Landrin, Distance: 106.5 meters, Time: 76.7 seconds
Name: Rue Ramus, Instruction: Turn right onto Rue Ramus, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn slight right, Distance: 37.3 meters, Time: 26.9 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: Avenue du Père Lachaise, Instruction: Turn sharp left onto Avenue du Père Lachaise, Distance: 7.6 meters, Time: 5.4 seconds
Name: Avenue des Combattants Étrangers Morts Pour la France, Instruction: Continue straight onto Avenue des Combattants Étrangers Morts Pour la France, Distance: 18.7 meters, Time: 13.4 seconds
Name: Avenue Circulaire, Instruction: Turn left onto Avenue Circulaire, Distance: 6.0 meters, Time: 4.4 seconds
Name: Avenue des Combattants Étrangers Morts Pour la France, Instruction: Turn right onto Avenue des Combattants Étrangers Morts Pour la France, Distance: 255.1 meters, Time: 183.6 seconds
Name: Avenue Transversale n°1, Instruction: Turn left onto Avenue Transversale n°1, Distance: 38.9 meters, Time: 28.0 seconds
Name: Avenue Feuillant, Instruction: Turn right onto Avenue Feuillant, Distance: 174.5 meters, Time: 125.7 seconds
Name: -, Instruction: Turn left, Distance: 12.3 meters, Time: 8.9 seconds
Name: Avenue Principale, Instruction: Turn right onto Avenue Principale, Distance: 68.2 meters, Time: 49.1 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: Avenue Principale, Instruction: Turn right onto Avenue Principale, Distance: 196.8 meters, Time: 141.7 seconds
Name: -, Instruction: Turn left, Distance: 44.5 meters, Time: 32.0 seconds
Name: -, Instruction: Turn right, Distance: 103.2 meters, Time: 74.3 seconds
Name: -, Instruction: Turn right, Distance: 13.0 meters, Time: 9.4 seconds
Name: Allée Stefa Skurnik, Instruction: Continue straight onto Allée Stefa Skurnik, Distance: 10.1 meters, Time: 7.2 seconds
Name: -, Instruction: Continue straight, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn slight right, Distance: 121.3 meters, Time: 87.3 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn slight right, Distance: 5.0 meters, Time: 3.6 seconds
Name: Rue de la Folie Regnault, Instruction: Turn left onto Rue de la Folie Regnault, Distance: 79.9 meters, Time: 57.6 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn slight right, Distance: 2.6 meters, Time: 1.9 seconds
Name: Passage Courtois, Instruction: Turn left onto Passage Courtois, Distance: 52.5 meters, Time: 37.8 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: Passage Courtois, Instruction: Turn right onto Passage Courtois, Distance: 114.6 meters, Time: 82.5 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Keep right, Distance: 40.0 meters, Time: 28.8 seconds
Name: Rue Carrière Mainguet, Instruction: Turn right onto Rue Carrière Mainguet, Distance: 3.5 meters, Time: 2.5 seconds
Name: Rue Léon Frot, Instruction: Turn left onto Rue Léon Frot, Distance: 34.0 meters, Time: 24.5 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 1.3 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: Cité de Phalsbourg, Instruction: Turn right onto Cité de Phalsbourg, Distance: 154.4 meters, Time: 111.2 seconds
Name: Boulevard Voltaire, Instruction: Turn left onto Boulevard Voltaire, Distance: 2.1 meters, Time: 1.5 seconds
Name: Impasse Bon Secours, Instruction: Turn right onto Impasse Bon Secours, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 86.6 meters, Time: 62.4 seconds
Name: -, Instruction: Turn right, Distance: 39.1 meters, Time: 28.2 seconds
Name: -, Instruction: Turn left, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn slight left, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn slight right, Distance: 198.5 meters, Time: 142.9 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 240.7 meters, Time: 173.3 seconds
Name: -, Instruction: Turn right, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
