Name: Doctor Abdurahman Avenue, Instruction: Head northwest on Doctor Abdurahman Avenue, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 183.7 meters, Time: 132.3 seconds
Name: -, Instruction: Turn left, Distance: 59.7 meters, Time: 43.0 seconds
Name: Eland Street, Instruction: Turn right onto Eland Street, Distance: 296.9 meters, Time: 213.8 seconds
Name: -, Instruction: Continue straight, Distance: 76.6 meters, Time: 55.1 seconds
Name: -, Instruction: Turn right, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: Foot Path 4, Instruction: Keep right onto Foot Path 4, Distance: 196.6 meters, Time: 141.5 seconds
Name: -, Instruction: Turn slight right, Distance: 22.8 meters, Time: 16.4 seconds
Name: Appledene Road, Instruction: Turn left onto Appledene Road, Distance: 981.1 meters, Time: 706.4 seconds
Name: Petunia Road, Instruction: Turn right onto Petunia Road, Distance: 140.6 meters, Time: 101.2 seconds
Name: -, Instruction: Turn left, Distance: 69.4 meters, Time: 50.0 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.9 seconds
Name: Primrose Street, Instruction: Turn left onto Primrose Street, Distance: 35.1 meters, Time: 25.2 seconds
Name: -, Instruction: Arrive at Primrose Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
