Name: Milbertshofener Straße, Instruction: Head east on Milbertshofener Straße, Distance: 288.3 meters, Time: 207.6 seconds
Name: Silcherstraße, Instruction: Turn left onto Silcherstraße, Distance: 104.9 meters, Time: 75.5 seconds
Name: -, Instruction: Turn right, Distance: 118.0 meters, Time: 85.0 seconds
Name: Vogelhartstraße, Instruction: Turn right onto Vogelhartstraße, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Turn left, Distance: 116.9 meters, Time: 84.1 seconds
Name: -, Instruction: Turn slight right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Keep left, Distance: 40.1 meters, Time: 28.9 seconds
Name: Langensalzastraße, Instruction: Turn left onto Langensalzastraße, Distance: 34.8 meters, Time: 25.1 seconds
Name: -, Instruction: Turn slight right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 35.8 meters, Time: 25.8 seconds
Name: -, Instruction: Turn left, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Turn right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 29.2 meters, Time: 21.1 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
