Name: Scott Street, Instruction: Head north on Scott Street, Distance: 311.7 meters, Time: 224.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 106.2 meters, Time: 76.5 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 433.0 meters, Time: 311.8 seconds
Name: -, Instruction: Turn left, Distance: 49.2 meters, Time: 35.4 seconds
Name: -, Instruction: Turn left, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: Baumans Road, Instruction: Turn right onto Baumans Road, Distance: 758.1 meters, Time: 545.8 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 67.3 meters, Time: 48.5 seconds
Name: Charles Street, Instruction: Turn left onto Charles Street, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 415.6 meters, Time: 299.2 seconds
Name: -, Instruction: Turn right, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
