Name: Yonge Street, Instruction: Head south on Yonge Street, Distance: 0.7 meters, Time: 0.5 seconds
Name: -, Instruction: Turn right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Turn right, Distance: 31.6 meters, Time: 22.7 seconds
Name: -, Instruction: Turn right, Distance: 119.7 meters, Time: 86.2 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: Duplex Avenue, Instruction: Turn left onto Duplex Avenue, Distance: 225.6 meters, Time: 162.5 seconds
Name: Roselawn Avenue, Instruction: Turn right onto Roselawn Avenue, Distance: 262.2 meters, Time: 188.7 seconds
Name: Edith Drive, Instruction: Turn left onto Edith Drive, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 525.8 meters, Time: 378.6 seconds
Name: -, Instruction: Turn left, Distance: 83.8 meters, Time: 60.3 seconds
Name: -, Instruction: Keep left, Distance: 6.9 meters, Time: 5.0 seconds
Name: Kelway Boulevard, Instruction: Turn right onto Kelway Boulevard, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Arrive at Kelway Boulevard, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
