Name: Worcester Road, Instruction: Head southwest on Worcester Road, Distance: 23.0 meters, Time: 16.5 seconds
Name: Ripon Crescent, Instruction: Keep right onto Ripon Crescent, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 299.6 meters, Time: 215.7 seconds
Name: -, Instruction: Turn left, Distance: 56.8 meters, Time: 40.9 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 949.2 meters, Time: 683.5 seconds
Name: -, Instruction: Keep left, Distance: 36.9 meters, Time: 26.6 seconds
Name: -, Instruction: Turn left, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn right, Distance: 226.0 meters, Time: 162.7 seconds
Name: -, Instruction: Turn right, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn left, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 133.0 meters, Time: 95.7 seconds
Name: -, Instruction: Turn slight right, Distance: 49.3 meters, Time: 35.5 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: Searle Street, Instruction: Turn right onto Searle Street, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 69.6 meters, Time: 50.1 seconds
Name: -, Instruction: Turn slight left, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Keep right, Distance: 61.8 meters, Time: 44.5 seconds
Name: -, Instruction: Keep right, Distance: 15.9 meters, Time: 11.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 44.0 meters, Time: 31.7 seconds
Name: -, Instruction: Keep right, Distance: 107.2 meters, Time: 77.2 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: Briody Terrace, Instruction: Turn right onto Briody Terrace, Distance: 144.9 meters, Time: 104.3 seconds
Name: -, Instruction: Arrive at Briody Terrace, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
