Name: Plough Way, B206, Instruction: Head east on Plough Way, B206, Distance: 8.1 meters, Time: 5.8 seconds
Name: Plough Way, Instruction: Continue straight onto Plough Way, Distance: 37.6 meters, Time: 27.1 seconds
Name: Windsock Close, Instruction: Turn left onto Windsock Close, Distance: 39.4 meters, Time: 28.4 seconds
Name: -, Instruction: Turn right, Distance: 52.0 meters, Time: 37.5 seconds
Name: Calypso Way, Instruction: Turn left onto Calypso Way, Distance: 35.5 meters, Time: 25.5 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.4 seconds
Name: Calypso Way, Instruction: Continue straight onto Calypso Way, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn left, Distance: 36.6 meters, Time: 26.3 seconds
Name: -, Instruction: Turn left, Distance: 48.6 meters, Time: 35.0 seconds
Name: Rope Street, Instruction: Turn right onto Rope Street, Distance: 57.0 meters, Time: 41.0 seconds
Name: South Sea Street, Instruction: Turn left onto South Sea Street, Distance: 59.8 meters, Time: 43.1 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 117.5 meters, Time: 84.6 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: South Sea Street, Instruction: Turn left onto South Sea Street, Distance: 40.3 meters, Time: 29.0 seconds
Name: Commercial Dock Passage, Instruction: Turn right onto Commercial Dock Passage, Distance: 48.0 meters, Time: 34.5 seconds
Name: Gulliver Street, Instruction: Turn right onto Gulliver Street, Distance: 14.4 meters, Time: 10.3 seconds
Name: Gulliver Street, Instruction: Turn slight left onto Gulliver Street, Distance: 94.8 meters, Time: 68.3 seconds
Name: -, Instruction: Continue straight, Distance: 25.3 meters, Time: 18.2 seconds
Name: Elgar Street, Instruction: Turn right onto Elgar Street, Distance: 43.7 meters, Time: 31.5 seconds
Name: Odessa Street, Instruction: Turn right onto Odessa Street, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Turn left, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Turn left, Distance: 73.5 meters, Time: 52.9 seconds
Name: Vaughan Street, Instruction: Turn right onto Vaughan Street, Distance: 52.0 meters, Time: 37.4 seconds
Name: Wyatt Close, Instruction: Turn slight right onto Wyatt Close, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Arrive at Wyatt Close, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
