Name: Spottiswoode Park Road, Instruction: Head north on Spottiswoode Park Road, Distance: 428.0 meters, Time: 308.1 seconds
Name: -, Instruction: Turn left, Distance: 39.5 meters, Time: 28.5 seconds
Name: -, Instruction: Turn slight right, Distance: 38.1 meters, Time: 27.5 seconds
Name: -, Instruction: Turn right, Distance: 35.5 meters, Time: 25.6 seconds
Name: -, Instruction: Keep left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 333.9 meters, Time: 240.4 seconds
Name: -, Instruction: Turn right, Distance: 36.3 meters, Time: 26.1 seconds
Name: -, Instruction: Keep right, Distance: 206.8 meters, Time: 148.9 seconds
Name: -, Instruction: Keep right, Distance: 345.8 meters, Time: 248.9 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
