Name: Wolfratshauser Straße, Instruction: Head north on Wolfratshauser Straße, Distance: 30.2 meters, Time: 21.8 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn right, Distance: 32.7 meters, Time: 23.6 seconds
Name: Maria-Einsiedel-Berg, Instruction: Keep left onto Maria-Einsiedel-Berg, Distance: 233.2 meters, Time: 167.9 seconds
Name: Kreppeberg, Instruction: Turn left onto Kreppeberg, Distance: 5.6 meters, Time: 4.0 seconds
Name: Benediktbeuerer Straße, Instruction: Turn right onto Benediktbeuerer Straße, Distance: 100.8 meters, Time: 72.6 seconds
Name: -, Instruction: Turn left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 239.8 meters, Time: 172.7 seconds
Name: -, Instruction: Turn right, Distance: 255.0 meters, Time: 183.6 seconds
Name: -, Instruction: Turn left, Distance: 103.4 meters, Time: 74.5 seconds
Name: -, Instruction: Turn slight right, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn left, Distance: 158.5 meters, Time: 114.1 seconds
Name: Marienklausensteg, Instruction: Turn right onto Marienklausensteg, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn slight right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Keep right, Distance: 169.7 meters, Time: 122.2 seconds
Name: Hochleite, Instruction: Turn sharp left onto Hochleite, Distance: 48.8 meters, Time: 35.2 seconds
Name: -, Instruction: Turn right, Distance: 29.3 meters, Time: 21.1 seconds
Name: Isenschmidstraße, Instruction: Turn slight right onto Isenschmidstraße, Distance: 119.2 meters, Time: 85.8 seconds
Name: Lindenstraße, Instruction: Turn right onto Lindenstraße, Distance: 63.2 meters, Time: 45.5 seconds
Name: Lindenstraße, Instruction: Keep left onto Lindenstraße, Distance: 82.9 meters, Time: 59.7 seconds
Name: Harthauser Straße, Instruction: Turn right onto Harthauser Straße, Distance: 12.2 meters, Time: 8.8 seconds
Name: Lindenstraße, Instruction: Turn left onto Lindenstraße, Distance: 228.3 meters, Time: 164.4 seconds
Name: Geiselgasteigstraße, Instruction: Turn right onto Geiselgasteigstraße, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.1 seconds
Name: Reinerstraße, Instruction: Turn left onto Reinerstraße, Distance: 107.7 meters, Time: 77.6 seconds
Name: -, Instruction: Turn right, Distance: 56.6 meters, Time: 40.8 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
