Name: Kaki Bukit Avenue 3, Instruction: Head east on Kaki Bukit Avenue 3, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 118.1 meters, Time: 85.0 seconds
Name: -, Instruction: Turn right, Distance: 48.0 meters, Time: 34.6 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 73.8 meters, Time: 53.1 seconds
Name: -, Instruction: Keep left, Distance: 62.4 meters, Time: 45.0 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 23.1 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 10.3 meters, Time: 7.4 seconds
Name: Jalan Damai, Instruction: Turn left onto Jalan Damai, Distance: 132.0 meters, Time: 95.1 seconds
Name: Jalan Damai, Instruction: Turn right onto Jalan Damai, Distance: 112.9 meters, Time: 81.3 seconds
Name: Jalan Damai, Instruction: Turn left onto Jalan Damai, Distance: 148.0 meters, Time: 106.6 seconds
Name: -, Instruction: Arrive at Jalan Damai, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
