Name: Wundtstraße, Instruction: Head south on Wundtstraße, Distance: 68.0 meters, Time: 48.9 seconds
Name: -, Instruction: Turn right, Distance: 65.3 meters, Time: 47.0 seconds
Name: -, Instruction: Turn slight left, Distance: 35.2 meters, Time: 25.3 seconds
Name: Kollwitzstraße, Instruction: Turn right onto Kollwitzstraße, Distance: 25.2 meters, Time: 18.1 seconds
Name: Ingolstädter Straße, Instruction: Turn left onto Ingolstädter Straße, Distance: 270.2 meters, Time: 194.5 seconds
Name: Gundelkoferstraße, Instruction: Turn right onto Gundelkoferstraße, Distance: 21.8 meters, Time: 15.7 seconds
Name: Sudetendeutschestraße, Instruction: Keep left onto Sudetendeutschestraße, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 236.8 meters, Time: 170.5 seconds
Name: -, Instruction: Keep left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Keep left, Distance: 117.1 meters, Time: 84.3 seconds
Name: -, Instruction: Keep right, Distance: 504.3 meters, Time: 363.1 seconds
Name: -, Instruction: Turn slight right, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Keep left, Distance: 313.9 meters, Time: 226.0 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 55.2 meters, Time: 39.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
