Name: Hampden Street, Instruction: Head northwest on Hampden Street, Distance: 43.7 meters, Time: 31.4 seconds
Name: Cecil Street, Instruction: Turn left onto Cecil Street, Distance: 55.9 meters, Time: 40.3 seconds
Name: Sutherland Avenue, Instruction: Keep right onto Sutherland Avenue, Distance: 77.6 meters, Time: 55.9 seconds
Name: -, Instruction: Turn left, Distance: 47.4 meters, Time: 34.1 seconds
Name: -, Instruction: Turn right, Distance: 58.6 meters, Time: 42.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 43.6 meters, Time: 31.4 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 86.6 meters, Time: 62.3 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 272.9 meters, Time: 196.5 seconds
Name: -, Instruction: Turn right, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 326.9 meters, Time: 235.4 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn right, Distance: 458.4 meters, Time: 330.0 seconds
Name: -, Instruction: Turn right, Distance: 252.6 meters, Time: 181.9 seconds
Name: -, Instruction: Turn right, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn left, Distance: 99.2 meters, Time: 71.4 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: Forbes Street, Instruction: Turn sharp right onto Forbes Street, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
