Name: Hanikura Street, Instruction: Head south on Hanikura Street, Distance: 145.4 meters, Time: 104.7 seconds
Name: Longshore Drive, Instruction: Turn right onto Longshore Drive, Distance: 254.5 meters, Time: 183.2 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 160.0 meters, Time: 115.2 seconds
Name: -, Instruction: Keep right, Distance: 80.2 meters, Time: 57.7 seconds
Name: -, Instruction: Continue straight, Distance: 66.8 meters, Time: 48.1 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.0 seconds
Name: Glenvar Ridge Road, Instruction: Turn left onto Glenvar Ridge Road, Distance: 48.3 meters, Time: 34.8 seconds
Name: Bounty Road, Instruction: Turn right onto Bounty Road, Distance: 390.0 meters, Time: 280.8 seconds
Name: -, Instruction: Turn right, Distance: 181.3 meters, Time: 130.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
