Name: Yishun Street 11, Instruction: Head south on Yishun Street 11, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn left, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Turn left, Distance: 34.8 meters, Time: 25.1 seconds
Name: -, Instruction: Turn right, Distance: 114.3 meters, Time: 82.3 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 37.3 meters, Time: 26.9 seconds
Name: Yishun Park Connector, Instruction: Turn left onto Yishun Park Connector, Distance: 321.7 meters, Time: 231.6 seconds
Name: -, Instruction: Turn right, Distance: 190.1 meters, Time: 136.9 seconds
Name: -, Instruction: Turn left, Distance: 109.4 meters, Time: 78.8 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: Yishun Street 20, Instruction: Turn left onto Yishun Street 20, Distance: 21.9 meters, Time: 15.8 seconds
Name: Yishun Street 22, Instruction: Turn right onto Yishun Street 22, Distance: 204.4 meters, Time: 147.2 seconds
Name: Yishun Street 22, Instruction: Turn left onto Yishun Street 22, Distance: 286.4 meters, Time: 206.2 seconds
Name: -, Instruction: Arrive at Yishun Street 22, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
