Name: Tuas Link 1, Instruction: Head northwest on Tuas Link 1, Distance: 61.7 meters, Time: 44.4 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 93.7 meters, Time: 67.5 seconds
Name: -, Instruction: Keep left, Distance: 184.0 meters, Time: 132.5 seconds
Name: -, Instruction: Turn right, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn right, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn left, Distance: 573.5 meters, Time: 412.9 seconds
Name: -, Instruction: Turn left, Distance: 19.7 meters, Time: 14.2 seconds
Name: Tuas West Drive, Instruction: Turn right onto Tuas West Drive, Distance: 51.4 meters, Time: 37.0 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 431.5 meters, Time: 310.7 seconds
Name: -, Instruction: Turn left, Distance: 165.4 meters, Time: 119.1 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
