Name: Richmond Street, Instruction: Head west on Richmond Street, Distance: 74.5 meters, Time: 53.6 seconds
Name: Princess Margaret Street, Instruction: Turn right onto Princess Margaret Street, Distance: 58.5 meters, Time: 42.1 seconds
Name: Cradock Street, Instruction: Turn sharp left onto Cradock Street, Distance: 70.8 meters, Time: 51.0 seconds
Name: Grens Street, Instruction: Turn right onto Grens Street, Distance: 95.3 meters, Time: 68.6 seconds
Name: -, Instruction: Turn left, Distance: 23.2 meters, Time: 16.7 seconds
Name: Showground Avenue, Instruction: Turn right onto Showground Avenue, Distance: 539.8 meters, Time: 388.7 seconds
Name: -, Instruction: Turn right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 81.2 meters, Time: 58.4 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.4 seconds
Name: Showground Avenue, Instruction: Turn right onto Showground Avenue, Distance: 53.6 meters, Time: 38.6 seconds
Name: -, Instruction: Turn right, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Keep left, Distance: 65.0 meters, Time: 46.8 seconds
Name: -, Instruction: Keep right, Distance: 175.3 meters, Time: 126.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 71.6 meters, Time: 51.6 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 73.0 meters, Time: 52.6 seconds
Name: Sakabula Circle, Instruction: Turn sharp right onto Sakabula Circle, Distance: 28.6 meters, Time: 20.6 seconds
Name: Sakabula Circle, Instruction: Turn left onto Sakabula Circle, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Arrive at Sakabula Circle, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
