Name: شارع احمد بن حنبل الجانبى, Instruction: Head north on شارع احمد بن حنبل الجانبى, Distance: 177.4 meters, Time: 127.8 seconds
Name: شارع احمد بن حنبل, Instruction: Turn right onto شارع احمد بن حنبل, Distance: 29.5 meters, Time: 21.2 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: شارع احمد بن حنبل, Instruction: Turn sharp right onto شارع احمد بن حنبل, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Keep left, Distance: 57.5 meters, Time: 41.4 seconds
Name: شارع طلعت مصطفى, Instruction: Turn slight left onto شارع طلعت مصطفى, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Keep left, Distance: 17.7 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Keep right, Distance: 21.6 meters, Time: 15.5 seconds
Name: شارع طلعت مصطفى, Instruction: Turn slight left onto شارع طلعت مصطفى, Distance: 98.1 meters, Time: 70.6 seconds
Name: شارع طلعت مصطفى, Instruction: Keep left onto شارع طلعت مصطفى, Distance: 54.5 meters, Time: 39.2 seconds
Name: -, Instruction: Turn left, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Turn left, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn right, Distance: 30.6 meters, Time: 22.0 seconds
Name: -, Instruction: Turn left, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Turn right, Distance: 36.2 meters, Time: 26.1 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 48.0 meters, Time: 34.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 41.5 meters, Time: 29.8 seconds
Name: شارع الإمام الشافعي, Instruction: Turn left onto شارع الإمام الشافعي, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 90.0 meters, Time: 64.8 seconds
Name: شارع بن حزم, Instruction: Continue straight onto شارع بن حزم, Distance: 173.6 meters, Time: 125.0 seconds
Name: شارع البخاري, Instruction: Turn right onto شارع البخاري, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 60.7 meters, Time: 43.7 seconds
Name: شارع حمزة بن عبد المطلب, Instruction: Turn left onto شارع حمزة بن عبد المطلب, Distance: 78.0 meters, Time: 56.2 seconds
Name: شارع عبد الرحمن بن عوف, Instruction: Enter the roundabout and take the 2nd exit onto شارع عبد الرحمن بن عوف, Distance: 137.6 meters, Time: 99.0 seconds
Name: -, Instruction: Turn right, Distance: 58.3 meters, Time: 42.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
