Name: Constellation Avenue, Instruction: Head southwest on Constellation Avenue, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 73.9 meters, Time: 53.2 seconds
Name: -, Instruction: Turn slight right, Distance: 29.2 meters, Time: 21.0 seconds
Name: -, Instruction: Keep right, Distance: 211.3 meters, Time: 152.2 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.3 seconds
Name: Beachlands Road, Instruction: Turn right onto Beachlands Road, Distance: 347.8 meters, Time: 250.4 seconds
Name: Beachlands Road, Instruction: Keep left onto Beachlands Road, Distance: 20.1 meters, Time: 14.4 seconds
Name: Shelly Bay Road, Instruction: Enter the roundabout and take the 1st exit onto Shelly Bay Road, Distance: 121.4 meters, Time: 87.4 seconds
Name: Karaka Road, Instruction: Turn right onto Karaka Road, Distance: 783.9 meters, Time: 564.4 seconds
Name: Winterman Road, Instruction: Turn left onto Winterman Road, Distance: 91.7 meters, Time: 66.0 seconds
Name: Jack Lachlan Drive, Instruction: Turn right onto Jack Lachlan Drive, Distance: 385.5 meters, Time: 277.6 seconds
Name: -, Instruction: Turn right, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Keep left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Keep left, Distance: 78.6 meters, Time: 56.6 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
