Name: Baltic Avenue, Instruction: Head east on Baltic Avenue, Distance: 18.7 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 59.8 meters, Time: 43.0 seconds
Name: -, Instruction: Turn left, Distance: 64.0 meters, Time: 46.1 seconds
Name: -, Instruction: Turn right, Distance: 63.5 meters, Time: 45.7 seconds
Name: -, Instruction: Turn left, Distance: 79.7 meters, Time: 57.4 seconds
Name: -, Instruction: Turn left, Distance: 109.4 meters, Time: 78.8 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: Strathmore Boulevard, Instruction: Turn left onto Strathmore Boulevard, Distance: 65.2 meters, Time: 46.9 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 100.4 meters, Time: 72.3 seconds
Name: -, Instruction: Keep right, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Turn right, Distance: 22.7 meters, Time: 16.4 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 442.0 meters, Time: 318.2 seconds
Name: -, Instruction: Turn slight left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Keep right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 804.1 meters, Time: 578.9 seconds
Name: -, Instruction: Turn slight left, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn slight right, Distance: 172.5 meters, Time: 124.2 seconds
Name: -, Instruction: Keep left, Distance: 107.9 meters, Time: 77.7 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 39.1 meters, Time: 28.2 seconds
Name: -, Instruction: Turn right, Distance: 207.7 meters, Time: 149.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
