Name: Wrexham Road, Instruction: Head northeast on Wrexham Road, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 282.1 meters, Time: 203.1 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 72.1 meters, Time: 51.9 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 387.1 meters, Time: 278.7 seconds
Name: -, Instruction: Turn left, Distance: 148.1 meters, Time: 106.6 seconds
Name: High Street, Instruction: Keep left onto High Street, Distance: 38.5 meters, Time: 27.8 seconds
Name: -, Instruction: Keep left, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn slight left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Keep right, Distance: 95.3 meters, Time: 68.6 seconds
Name: -, Instruction: Keep right, Distance: 114.4 meters, Time: 82.4 seconds
Name: -, Instruction: Continue straight, Distance: 45.9 meters, Time: 33.0 seconds
Name: -, Instruction: Turn left, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Keep right, Distance: 363.3 meters, Time: 261.5 seconds
Name: -, Instruction: Keep right, Distance: 96.1 meters, Time: 69.2 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: Bridge Road, Instruction: Turn right onto Bridge Road, Distance: 26.4 meters, Time: 19.0 seconds
Name: Bridge Terrace, Instruction: Turn left onto Bridge Terrace, Distance: 48.6 meters, Time: 35.0 seconds
Name: New Mount Street, Instruction: Keep right onto New Mount Street, Distance: 35.2 meters, Time: 25.4 seconds
Name: Kay Street, Instruction: Turn left onto Kay Street, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn right, Distance: 93.7 meters, Time: 67.5 seconds
Name: Chant Street, Instruction: Turn right onto Chant Street, Distance: 42.2 meters, Time: 30.4 seconds
Name: Bryant Street, Instruction: Turn left onto Bryant Street, Distance: 143.5 meters, Time: 103.3 seconds
Name: -, Instruction: Turn right, Distance: 79.6 meters, Time: 57.3 seconds
Name: -, Instruction: Turn left, Distance: 13.8 meters, Time: 9.9 seconds
Name: West Ham Lane, Instruction: Turn right onto West Ham Lane, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Keep left, Distance: 26.3 meters, Time: 18.9 seconds
Name: -, Instruction: Turn right, Distance: 67.6 meters, Time: 48.6 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
