Name: Burgess Avenue, Instruction: Head west on Burgess Avenue, Distance: 215.4 meters, Time: 155.1 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 50.9 meters, Time: 36.6 seconds
Name: -, Instruction: Turn right, Distance: 85.8 meters, Time: 61.8 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 703.2 meters, Time: 506.3 seconds
Name: -, Instruction: Turn right, Distance: 121.7 meters, Time: 87.6 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: Moberly Avenue, Instruction: Turn right onto Moberly Avenue, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 187.8 meters, Time: 135.2 seconds
Name: -, Instruction: Turn slight right, Distance: 601.6 meters, Time: 433.1 seconds
Name: -, Instruction: Turn slight left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn slight right, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Turn left, Distance: 43.0 meters, Time: 31.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
