Name: St John's Road, Instruction: Head east on St John's Road, Distance: 90.9 meters, Time: 65.4 seconds
Name: -, Instruction: Turn right, Distance: 400.3 meters, Time: 288.2 seconds
Name: -, Instruction: Keep left, Distance: 312.2 meters, Time: 224.8 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 34.8 meters, Time: 25.1 seconds
Name: -, Instruction: Turn right, Distance: 322.6 meters, Time: 232.3 seconds
Name: -, Instruction: Turn left, Distance: 34.9 meters, Time: 25.2 seconds
Name: -, Instruction: Keep right, Distance: 7.1 meters, Time: 5.1 seconds
Name: Armadale Avenue, Instruction: Turn right onto Armadale Avenue, Distance: 6.1 meters, Time: 4.4 seconds
Name: Colbeck Street, Instruction: Turn left onto Colbeck Street, Distance: 43.5 meters, Time: 31.3 seconds
Name: Armadale Avenue, Instruction: Turn right onto Armadale Avenue, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 93.4 meters, Time: 67.3 seconds
Name: -, Instruction: Keep right, Distance: 68.4 meters, Time: 49.3 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: Willard Avenue, Instruction: Turn right onto Willard Avenue, Distance: 335.9 meters, Time: 241.9 seconds
Name: -, Instruction: Arrive at Willard Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
