Name: Hazel Road, Instruction: Head south on Hazel Road, Distance: 313.8 meters, Time: 225.9 seconds
Name: Jeram Avenue, Instruction: Turn right onto Jeram Avenue, Distance: 72.1 meters, Time: 51.9 seconds
Name: Bodali Avenue, Instruction: Turn left onto Bodali Avenue, Distance: 245.3 meters, Time: 176.6 seconds
Name: -, Instruction: Keep left, Distance: 72.0 meters, Time: 51.8 seconds
Name: -, Instruction: Keep right, Distance: 102.2 meters, Time: 73.6 seconds
Name: -, Instruction: Keep left, Distance: 57.3 meters, Time: 41.3 seconds
Name: -, Instruction: Turn right, Distance: 90.0 meters, Time: 64.8 seconds
Name: -, Instruction: Turn left, Distance: 100.6 meters, Time: 72.5 seconds
Name: Pooke Road, Instruction: Turn right onto Pooke Road, Distance: 36.0 meters, Time: 25.9 seconds
Name: Mohan Avenue, Instruction: Turn right onto Mohan Avenue, Distance: 212.7 meters, Time: 153.1 seconds
Name: Mohan Avenue, Instruction: Turn left onto Mohan Avenue, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Arrive at Mohan Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
