Name: Wick Lane, Instruction: Head south on Wick Lane, Distance: 319.7 meters, Time: 230.2 seconds
Name: Tredegar Road, Instruction: Continue straight onto Tredegar Road, Distance: 45.2 meters, Time: 32.6 seconds
Name: Morville Street, Instruction: Turn left onto Morville Street, Distance: 314.3 meters, Time: 226.3 seconds
Name: -, Instruction: Turn left, Distance: 46.6 meters, Time: 33.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 33.2 meters, Time: 23.9 seconds
Name: Malmesbury Road, Instruction: Turn right onto Malmesbury Road, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn slight right, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Turn left, Distance: 42.0 meters, Time: 30.3 seconds
Name: -, Instruction: Turn right, Distance: 56.3 meters, Time: 40.5 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.0 seconds
Name: Whitton Walk, Instruction: Turn left onto Whitton Walk, Distance: 51.6 meters, Time: 37.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 36.8 meters, Time: 26.5 seconds
Name: Alfred Street, Instruction: Turn left onto Alfred Street, Distance: 132.5 meters, Time: 95.4 seconds
Name: Bow Road, A11, Instruction: Turn right onto Bow Road, A11, Distance: 18.1 meters, Time: 13.0 seconds
Name: Wellington Way, Instruction: Turn left onto Wellington Way, Distance: 137.2 meters, Time: 98.8 seconds
Name: Merchant Street, Instruction: Turn right onto Merchant Street, Distance: 98.1 meters, Time: 70.7 seconds
Name: Hamlets Way, Instruction: Turn left onto Hamlets Way, Distance: 106.9 meters, Time: 76.9 seconds
Name: -, Instruction: Turn left, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Keep right, Distance: 57.2 meters, Time: 41.2 seconds
Name: -, Instruction: Turn slight left, Distance: 22.4 meters, Time: 16.2 seconds
Name: -, Instruction: Keep right, Distance: 55.4 meters, Time: 39.9 seconds
Name: -, Instruction: Turn right, Distance: 36.5 meters, Time: 26.2 seconds
Name: -, Instruction: Turn left, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Turn right, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Turn slight left, Distance: 50.9 meters, Time: 36.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
