Name: Struan Place, Instruction: Head west on Struan Place, Distance: 44.8 meters, Time: 32.2 seconds
Name: Aberfeldy Avenue, Instruction: Turn left onto Aberfeldy Avenue, Distance: 25.5 meters, Time: 18.3 seconds
Name: Palmcrest Grove, Instruction: Turn right onto Palmcrest Grove, Distance: 58.1 meters, Time: 41.9 seconds
Name: Palmcrest Grove, Instruction: Turn right onto Palmcrest Grove, Distance: 100.3 meters, Time: 72.2 seconds
Name: -, Instruction: Turn right, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn right, Distance: 155.3 meters, Time: 111.8 seconds
Name: Tomintoul Place, Instruction: Turn left onto Tomintoul Place, Distance: 108.9 meters, Time: 78.4 seconds
Name: Highland Park Drive, Instruction: Turn left onto Highland Park Drive, Distance: 52.2 meters, Time: 37.6 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 166.3 meters, Time: 119.7 seconds
Name: -, Instruction: Turn right, Distance: 35.5 meters, Time: 25.5 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn slight right, Distance: 22.4 meters, Time: 16.2 seconds
Name: -, Instruction: Turn left, Distance: 299.6 meters, Time: 215.7 seconds
Name: -, Instruction: Turn left, Distance: 40.6 meters, Time: 29.2 seconds
Name: Mandarin Place, Instruction: Turn slight left onto Mandarin Place, Distance: 173.2 meters, Time: 124.7 seconds
Name: Casuarina Road, Instruction: Turn left onto Casuarina Road, Distance: 176.1 meters, Time: 126.8 seconds
Name: Medina Place, Instruction: Turn right onto Medina Place, Distance: 151.5 meters, Time: 109.1 seconds
Name: -, Instruction: Turn right, Distance: 47.0 meters, Time: 33.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
