Name: Garfield Street, Instruction: Head west on Garfield Street, Distance: 409.8 meters, Time: 295.1 seconds
Name: Parnell Rise, Instruction: Turn left onto Parnell Rise, Distance: 5.4 meters, Time: 3.9 seconds
Name: Parnell Rise, Instruction: Keep right onto Parnell Rise, Distance: 139.0 meters, Time: 100.1 seconds
Name: -, Instruction: Turn left, Distance: 50.7 meters, Time: 36.5 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 88.6 meters, Time: 63.8 seconds
Name: Churchill Street Shared Path, Instruction: Turn left onto Churchill Street Shared Path, Distance: 2.0 meters, Time: 1.4 seconds
Name: Constitution Hill, Instruction: Turn right onto Constitution Hill, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Keep left, Distance: 46.1 meters, Time: 33.2 seconds
Name: -, Instruction: Continue straight, Distance: 114.2 meters, Time: 82.2 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn slight right, Distance: 89.2 meters, Time: 64.2 seconds
Name: -, Instruction: Keep left, Distance: 389.0 meters, Time: 280.1 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: Bacon's Lane, Instruction: Turn left onto Bacon's Lane, Distance: 9.4 meters, Time: 6.8 seconds
Name: Kitchener Street, Instruction: Turn right onto Kitchener Street, Distance: 46.5 meters, Time: 33.5 seconds
Name: Courthouse Lane, Instruction: Turn right onto Courthouse Lane, Distance: 60.8 meters, Time: 43.8 seconds
Name: -, Instruction: Turn left, Distance: 56.8 meters, Time: 40.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Turn right, Distance: 59.8 meters, Time: 43.1 seconds
Name: -, Instruction: Turn left, Distance: 34.5 meters, Time: 24.8 seconds
Name: Durham Street East, Instruction: Turn right onto Durham Street East, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 74.1 meters, Time: 53.3 seconds
Name: Durham Lane, Instruction: Turn right onto Durham Lane, Distance: 40.5 meters, Time: 29.1 seconds
Name: -, Instruction: Arrive at Durham Lane, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
