Name: Avenue Principale, Instruction: Head south on Avenue Principale, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Keep right, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 189.9 meters, Time: 136.7 seconds
Name: -, Instruction: Turn slight left, Distance: 120.6 meters, Time: 86.8 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 286.1 meters, Time: 206.0 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: Square Caulaincourt, Instruction: Turn left onto Square Caulaincourt, Distance: 62.9 meters, Time: 45.3 seconds
Name: -, Instruction: Turn right, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: Rue Lamarck, Instruction: Turn right onto Rue Lamarck, Distance: 3.6 meters, Time: 2.6 seconds
Name: Rue Duhesme, Instruction: Keep left onto Rue Duhesme, Distance: 60.3 meters, Time: 43.4 seconds
Name: Rue Duhesme, Instruction: Continue straight onto Rue Duhesme, Distance: 182.1 meters, Time: 131.1 seconds
Name: Rue Marcadet, Instruction: Keep right onto Rue Marcadet, Distance: 345.2 meters, Time: 248.6 seconds
Name: -, Instruction: Arrive at Rue Marcadet, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
