Name: Calle Esteban Coronado, Instruction: Head east on Calle Esteban Coronado, Distance: 19.5 meters, Time: 14.0 seconds
Name: Calle Universidad, Instruction: Turn left onto Calle Universidad, Distance: 228.5 meters, Time: 164.5 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 73.3 meters, Time: 52.8 seconds
Name: -, Instruction: Turn left, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 45.9 meters, Time: 33.0 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 34.5 meters, Time: 24.9 seconds
Name: -, Instruction: Turn right, Distance: 68.8 meters, Time: 49.6 seconds
Name: Calle Batallones Rojos, Instruction: Turn left onto Calle Batallones Rojos, Distance: 79.4 meters, Time: 57.2 seconds
Name: Calle 4 Jesús Rodríguez, Instruction: Turn right onto Calle 4 Jesús Rodríguez, Distance: 100.7 meters, Time: 72.5 seconds
Name: Calle 2 Jesús Rodríguez, Instruction: Turn left onto Calle 2 Jesús Rodríguez, Distance: 46.7 meters, Time: 33.7 seconds
Name: -, Instruction: Turn right, Distance: 45.9 meters, Time: 33.0 seconds
Name: Calle 2 Guadalupe Magaña, Instruction: Continue straight onto Calle 2 Guadalupe Magaña, Distance: 47.5 meters, Time: 34.2 seconds
Name: -, Instruction: Turn slight right, Distance: 51.4 meters, Time: 37.0 seconds
Name: Anillo Periférico, PERIF, Instruction: Turn right onto Anillo Periférico, PERIF, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 127.8 meters, Time: 92.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
