Name: Rue du Général Leclerc, Instruction: Head west on Rue du Général Leclerc, Distance: 27.4 meters, Time: 19.7 seconds
Name: Avenue Henriette, Instruction: Turn sharp left onto Avenue Henriette, Distance: 132.3 meters, Time: 95.3 seconds
Name: Avenue des Camélias, Instruction: Turn slight right onto Avenue des Camélias, Distance: 54.7 meters, Time: 39.4 seconds
Name: Rue Robespierre, Instruction: Turn sharp left onto Rue Robespierre, Distance: 128.1 meters, Time: 92.2 seconds
Name: Rue Robespierre, Instruction: Turn slight left onto Rue Robespierre, Distance: 55.7 meters, Time: 40.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 58.4 meters, Time: 42.0 seconds
Name: -, Instruction: Turn right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Keep right, Distance: 84.0 meters, Time: 60.5 seconds
Name: -, Instruction: Turn left, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Turn right, Distance: 42.2 meters, Time: 30.4 seconds
Name: Rue de la Capsulerie, Instruction: Turn left onto Rue de la Capsulerie, Distance: 55.2 meters, Time: 39.7 seconds
Name: Rue de la Capsulerie, Instruction: Continue straight onto Rue de la Capsulerie, Distance: 65.8 meters, Time: 47.4 seconds
Name: -, Instruction: Turn right, Distance: 97.4 meters, Time: 70.1 seconds
Name: Rue Désiré Vienot, Instruction: Turn left onto Rue Désiré Vienot, Distance: 60.0 meters, Time: 43.2 seconds
Name: Rue Bain, Instruction: Turn right onto Rue Bain, Distance: 89.9 meters, Time: 64.7 seconds
Name: Rue des Ravins / Sentier des Ravins, Instruction: Turn right onto Rue des Ravins / Sentier des Ravins, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Turn left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
