Name: Millicent Street, Instruction: Head west on Millicent Street, Distance: 488.7 meters, Time: 351.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 515.1 meters, Time: 370.9 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn left, Distance: 413.0 meters, Time: 297.3 seconds
Name: -, Instruction: Turn right, Distance: 53.0 meters, Time: 38.1 seconds
Name: -, Instruction: Continue straight, Distance: 134.2 meters, Time: 96.6 seconds
Name: -, Instruction: Turn left, Distance: 40.6 meters, Time: 29.3 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: Driftway Shared Path, Instruction: Turn left onto Driftway Shared Path, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn slight right, Distance: 120.9 meters, Time: 87.1 seconds
Name: Butu Wargun Shared Path, Instruction: Turn right onto Butu Wargun Shared Path, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 102.3 meters, Time: 73.7 seconds
Name: -, Instruction: Keep right, Distance: 26.3 meters, Time: 19.0 seconds
Name: -, Instruction: Keep left, Distance: 56.9 meters, Time: 41.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
