Name: Balam Road, Instruction: Head southwest on Balam Road, Distance: 153.8 meters, Time: 110.7 seconds
Name: -, Instruction: Turn right, Distance: 49.8 meters, Time: 35.8 seconds
Name: -, Instruction: Turn left, Distance: 72.9 meters, Time: 52.5 seconds
Name: Circuit Road, Instruction: Turn right onto Circuit Road, Distance: 52.9 meters, Time: 38.1 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 135.6 meters, Time: 97.6 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.0 seconds
Name: Circuit Road, Instruction: Turn left onto Circuit Road, Distance: 50.1 meters, Time: 36.1 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 198.9 meters, Time: 143.2 seconds
Name: -, Instruction: Keep left, Distance: 177.2 meters, Time: 127.6 seconds
Name: Paya Lebar Way, Instruction: Turn right onto Paya Lebar Way, Distance: 79.3 meters, Time: 57.1 seconds
Name: Paya Lebar Way, Instruction: Turn left onto Paya Lebar Way, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Arrive at Paya Lebar Way, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
