Name: Station Road, Instruction: Head northwest on Station Road, Distance: 77.2 meters, Time: 55.6 seconds
Name: -, Instruction: Turn left, Distance: 96.8 meters, Time: 69.7 seconds
Name: Claremont Avenue, Instruction: Turn right onto Claremont Avenue, Distance: 50.1 meters, Time: 36.1 seconds
Name: Consfield Avenue, Instruction: Turn left onto Consfield Avenue, Distance: 446.8 meters, Time: 321.7 seconds
Name: -, Instruction: Turn right, Distance: 53.1 meters, Time: 38.2 seconds
Name: -, Instruction: Turn left, Distance: 44.1 meters, Time: 31.8 seconds
Name: -, Instruction: Turn slight right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 114.4 meters, Time: 82.4 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: Rookwood Avenue, Instruction: Turn right onto Rookwood Avenue, Distance: 142.0 meters, Time: 102.2 seconds
Name: -, Instruction: Keep left, Distance: 22.0 meters, Time: 15.9 seconds
Name: -, Instruction: Keep left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 492.5 meters, Time: 354.6 seconds
Name: Blagdon Road, Instruction: Continue straight onto Blagdon Road, Distance: 45.1 meters, Time: 32.4 seconds
Name: Howard Road, Instruction: Turn right onto Howard Road, Distance: 73.5 meters, Time: 52.9 seconds
Name: Howard Road, Instruction: Turn left onto Howard Road, Distance: 72.5 meters, Time: 52.2 seconds
Name: Kings Avenue, Instruction: Turn left onto Kings Avenue, Distance: 108.8 meters, Time: 78.4 seconds
Name: -, Instruction: Turn right, Distance: 156.7 meters, Time: 112.8 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 22.9 meters, Time: 16.5 seconds
Name: Grafton Road, Instruction: Turn left onto Grafton Road, Distance: 121.6 meters, Time: 87.6 seconds
Name: -, Instruction: Arrive at Grafton Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
