Name: Harvard Circuit, Instruction: Head northeast on Harvard Circuit, Distance: 106.5 meters, Time: 76.7 seconds
Name: -, Instruction: Turn left, Distance: 94.8 meters, Time: 68.2 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: Milford Drive, Instruction: Turn sharp left onto Milford Drive, Distance: 5.7 meters, Time: 4.1 seconds
Name: Mile End Road, Instruction: Turn right onto Mile End Road, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 357.0 meters, Time: 257.1 seconds
Name: Money Close, Instruction: Turn right onto Money Close, Distance: 228.2 meters, Time: 164.3 seconds
Name: -, Instruction: Turn right, Distance: 190.4 meters, Time: 137.1 seconds
Name: -, Instruction: Turn left, Distance: 178.2 meters, Time: 128.3 seconds
Name: -, Instruction: Turn left, Distance: 130.6 meters, Time: 94.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
