Name: Rue Beaugrenelle, Instruction: Head northwest on Rue Beaugrenelle, Distance: 144.2 meters, Time: 103.8 seconds
Name: Rue Emeriau, Instruction: Turn left onto Rue Emeriau, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Turn right, Distance: 560.8 meters, Time: 403.7 seconds
Name: -, Instruction: Turn slight right, Distance: 40.5 meters, Time: 29.2 seconds
Name: -, Instruction: Turn left, Distance: 207.5 meters, Time: 149.4 seconds
Name: -, Instruction: Turn slight right, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn slight left, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 136.8 meters, Time: 98.5 seconds
Name: -, Instruction: Turn slight left, Distance: 5.5 meters, Time: 4.0 seconds
Name: Rue de Boulainvilliers, Instruction: Turn right onto Rue de Boulainvilliers, Distance: 12.9 meters, Time: 9.3 seconds
Name: Rue du Ranelagh, Instruction: Turn left onto Rue du Ranelagh, Distance: 729.1 meters, Time: 524.9 seconds
Name: Boulevard de Beauséjour, Instruction: Turn left onto Boulevard de Beauséjour, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Keep left, Distance: 99.2 meters, Time: 71.4 seconds
Name: Allée Jean Sablon, Instruction: Continue straight onto Allée Jean Sablon, Distance: 105.5 meters, Time: 76.0 seconds
Name: Route des Lacs à Passy, Instruction: Turn slight right onto Route des Lacs à Passy, Distance: 8.9 meters, Time: 6.4 seconds
Name: Route des Lacs à Passy, Instruction: Turn slight left onto Route des Lacs à Passy, Distance: 29.4 meters, Time: 21.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 39.0 meters, Time: 28.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
