Name: Times Road, Instruction: Head south on Times Road, Distance: 180.0 meters, Time: 129.6 seconds
Name: Briar Hill Avenue, Instruction: Turn left onto Briar Hill Avenue, Distance: 379.6 meters, Time: 273.3 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn right, Distance: 77.1 meters, Time: 55.5 seconds
Name: -, Instruction: Turn left, Distance: 354.5 meters, Time: 255.2 seconds
Name: -, Instruction: Keep right, Distance: 207.1 meters, Time: 149.1 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: Ridelle Avenue, Instruction: Turn left onto Ridelle Avenue, Distance: 93.4 meters, Time: 67.2 seconds
Name: Overdale Road, Instruction: Turn right onto Overdale Road, Distance: 161.0 meters, Time: 115.9 seconds
Name: Elm Ridge Circle, Instruction: Turn left onto Elm Ridge Circle, Distance: 100.9 meters, Time: 72.7 seconds
Name: Elm Ridge Drive, Instruction: Turn sharp left onto Elm Ridge Drive, Distance: 446.0 meters, Time: 321.1 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
