Name: Atlas Avenue, Instruction: Head north on Atlas Avenue, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 629.2 meters, Time: 453.0 seconds
Name: Wychwood Avenue, Instruction: Turn left onto Wychwood Avenue, Distance: 31.3 meters, Time: 22.6 seconds
Name: -, Instruction: Turn right, Distance: 222.4 meters, Time: 160.1 seconds
Name: Vaughan Road, Instruction: Turn sharp left onto Vaughan Road, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 135.3 meters, Time: 97.4 seconds
Name: -, Instruction: Turn left, Distance: 148.4 meters, Time: 106.8 seconds
Name: -, Instruction: Turn right, Distance: 43.0 meters, Time: 31.0 seconds
Name: -, Instruction: Turn left, Distance: 217.6 meters, Time: 156.6 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
