Name: Bega Street, Instruction: Head southwest on Bega Street, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 72.8 meters, Time: 52.4 seconds
Name: -, Instruction: Keep left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 116.3 meters, Time: 83.7 seconds
Name: -, Instruction: Turn right, Distance: 196.1 meters, Time: 141.2 seconds
Name: -, Instruction: Turn slight right, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn left, Distance: 23.6 meters, Time: 17.0 seconds
Name: Richmond Rd Shared Path, Instruction: Turn left onto Richmond Rd Shared Path, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Continue straight, Distance: 177.6 meters, Time: 127.9 seconds
Name: -, Instruction: Turn slight right, Distance: 8.4 meters, Time: 6.1 seconds
Name: Tulloch Street, Instruction: Turn right onto Tulloch Street, Distance: 298.2 meters, Time: 214.7 seconds
Name: Grant Street, Instruction: Turn right onto Grant Street, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 698.4 meters, Time: 502.8 seconds
Name: -, Instruction: Turn right, Distance: 36.4 meters, Time: 26.2 seconds
Name: -, Instruction: Turn left, Distance: 129.2 meters, Time: 93.0 seconds
Name: -, Instruction: Turn slight left, Distance: 16.6 meters, Time: 11.9 seconds
Name: Clarence Street, Instruction: Turn right onto Clarence Street, Distance: 118.1 meters, Time: 85.1 seconds
Name: Irelands Road, Instruction: Turn left onto Irelands Road, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
