Name: Mandai Link, Instruction: Head south on Mandai Link, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 148.8 meters, Time: 107.1 seconds
Name: -, Instruction: Turn slight left, Distance: 135.5 meters, Time: 97.5 seconds
Name: -, Instruction: Keep right, Distance: 149.4 meters, Time: 107.6 seconds
Name: -, Instruction: Turn right, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Keep left, Distance: 489.5 meters, Time: 352.4 seconds
Name: -, Instruction: Keep left, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 50.7 meters, Time: 36.5 seconds
Name: -, Instruction: Keep right, Distance: 838.1 meters, Time: 603.4 seconds
Name: -, Instruction: Keep left, Distance: 220.8 meters, Time: 159.0 seconds
Name: -, Instruction: Turn right, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn right, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn left, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
