Name: Rua Engenheiro Pena Chaves, Instruction: Head southwest on Rua Engenheiro Pena Chaves, Distance: 128.9 meters, Time: 92.8 seconds
Name: Rua Santa Heloisa, Instruction: Turn left onto Rua Santa Heloisa, Distance: 92.9 meters, Time: 66.9 seconds
Name: Rua Corcovado, Instruction: Turn right onto Rua Corcovado, Distance: 91.6 meters, Time: 65.9 seconds
Name: Rua Lopes Quintas, Instruction: Turn left onto Rua Lopes Quintas, Distance: 422.7 meters, Time: 304.4 seconds
Name: Rua Jardim Botânico, Instruction: Turn left onto Rua Jardim Botânico, Distance: 742.8 meters, Time: 534.8 seconds
Name: -, Instruction: Turn left, Distance: 49.0 meters, Time: 35.3 seconds
Name: -, Instruction: Keep right, Distance: 155.1 meters, Time: 111.7 seconds
Name: -, Instruction: Turn left, Distance: 63.5 meters, Time: 45.8 seconds
Name: -, Instruction: Turn right, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn slight right, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn left, Distance: 55.4 meters, Time: 39.9 seconds
Name: Trilha do Lago das Fadas, Instruction: Turn left onto Trilha do Lago das Fadas, Distance: 102.5 meters, Time: 73.8 seconds
Name: -, Instruction: Arrive at Trilha do Lago das Fadas, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
