Name: Jerningham Road, Instruction: Head north on Jerningham Road, Distance: 320.2 meters, Time: 230.5 seconds
Name: -, Instruction: Turn right, Distance: 349.1 meters, Time: 251.3 seconds
Name: -, Instruction: Turn left, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 223.8 meters, Time: 161.1 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn slight right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 54.5 meters, Time: 39.2 seconds
Name: Amersham Vale, Instruction: Turn right onto Amersham Vale, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Arrive at Amersham Vale, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
