Name: Rue Alfred Roll, Instruction: Head southeast on Rue Alfred Roll, Distance: 108.9 meters, Time: 78.4 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 197.4 meters, Time: 142.2 seconds
Name: -, Instruction: Turn right, Distance: 54.3 meters, Time: 39.1 seconds
Name: -, Instruction: Turn slight left, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn right, Distance: 80.9 meters, Time: 58.2 seconds
Name: -, Instruction: Keep right, Distance: 82.8 meters, Time: 59.6 seconds
Name: -, Instruction: Turn slight right, Distance: 4.9 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 98.8 meters, Time: 71.2 seconds
Name: -, Instruction: Keep right, Distance: 89.8 meters, Time: 64.7 seconds
Name: -, Instruction: Keep right, Distance: 257.3 meters, Time: 185.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
